sender,recipient,message,timestamp
"Gego","asd","He","2024-12-04 21:10:45"
"asd","Gego","Привет, как дела. У меня хорошо!","2024-12-04 21:13:13"
"Gego","asd","Hi","2024-12-04 21:13:34"
"Gego","asd","ТекстТекстТекстТекстТекстТекст ТекстТекстТекстТекстТекстТекст","2024-12-04 21:24:02"
"Бабуй2","asd","Если пришло сообщение ответь что-нибудь","2024-12-04 21:30:52"
"Sus","Svyat","228 228 228","2024-12-04 21:38:05"
"Sus","Svyat","Але","2024-12-04 21:42:03"
"Svyat","Sus","Хеллоу.","2024-12-04 21:42:06"
"Svyat","Sus","До тебя дошло? Жду ответ!","2024-12-04 21:42:31"
"Svyat","Sus","Млн!","2024-12-04 21:43:13"
"Svyat","Sus","Ой, не млн, а алë","2024-12-04 21:43:31"
"Svyat","Sus","Георгий Georg. Напиши ему.","2024-12-04 21:44:26"
"Svyat","Dima","Андрей Sus. Гоша Georg. Напиши им","2024-12-04 21:44:51"
"Sus","Svyat","Жоский","2024-12-04 21:46:01"
"Sus","Svyat","0_0","2024-12-04 21:46:44"
"Svyat","Sus","Ты написал им?","2024-12-04 21:46:59"
"Dima","Svyat","Ок","2024-12-04 21:47:16"
"Svyat","Georg","Напиши Sus и Dima","2024-12-04 21:47:18"
"Dima","Georg","Ты готов к физике?","2024-12-04 21:47:42"
"Sus","Svyat","Неть","2024-12-04 21:47:48"
"Sus","Svyat","Я спать","2024-12-04 21:47:53"
"Svyat","Sus","Стой","2024-12-04 21:48:00"
"Svyat","Sus","Пиши, а потом спать","2024-12-04 21:48:08"
"Sus","Svyat","Спокойной жизни холостой!","2024-12-04 21:48:14"
"Svyat","Georg","Не знаю, почему у тебя так долго.","2024-12-04 21:50:12"
"Svyat","Georg","А я думал вопрос, ну ладно","2024-12-04 21:50:22"
"Svyat","Dima","Привет","2024-12-04 21:50:36"
"Svyat","Dima","Давай познокомимся? :)","2024-12-04 21:50:52"
"Dima","Svyar","Привет, пупсик","2024-12-04 21:51:05"
"Dima","Svyar","Пойдём в кроватку","2024-12-04 21:51:13"
"Svyat","Dima","Ну. Я устал ждать ответ!","2024-12-04 21:51:45"
"Dima","Svyat","Привет, пупсик","2024-12-04 21:51:47"
"Georg","Svyat","Сейчас я им напишу","2024-12-04 21:51:51"
"Dima","Svyat","Пойдём в кроватку?","2024-12-04 21:51:58"
"Georg","Svyat","Кстати Дима мне уже написал","2024-12-04 21:52:05"
"Svyat","Dima","Ура, привет! Молодец, пиши им. Только Андрей уже спит, может к нему в кроватку.","2024-12-04 21:52:19"
"Svyat","Georg","Мне тоже. Я написал Грише и Марина, ждëм пополнение в нашей семье.","2024-12-04 21:52:43"
"Dima","Svyat","А мы втроём поместимся на его кроватке?","2024-12-04 21:52:51"
"Svyat","Dima","Думаю да!","2024-12-04 21:53:25"
"Georg","Sus","Привет, сус ඞ","2024-12-04 21:53:32"
"Georg","Svyat","Типо они тоже щас зарегаются?","2024-12-04 21:54:07"
"Svyat","Georg","Когда прочитают, зарегаются! А и ещë Максиму написал.","2024-12-04 21:54:36"
"Svyat","Georg","Кто такой Орешник?","2024-12-04 21:55:02"
"Svyat","Dima","Кто такой Орешник","2024-12-04 21:55:12"
"Орешник","Svyat","Привет, хочешь покажу свой орешек?","2024-12-04 21:55:21"
"Svyat","Dima","Я понял кто это","2024-12-04 21:55:34"
"Орешник","Svyat","Это будет нашей тайной","2024-12-04 21:55:47"
"Svyat","Dima","Чего тебе, ещë и фото? Пока только так.","2024-12-04 21:56:36"
"Georg","Svyat","А ты разве не знаешь?","2024-12-04 21:57:26"
"Georg","Svyat","Про это же столько мемов уже","2024-12-04 21:57:46"
"Georg","Svyat","Это новая российская ракета","2024-12-04 21:58:05"
"Орешник","Svyat","Ну же мой сладенький, ответь","2024-12-04 21:58:21"
"Svyat","Georg","Я знаю, кто из вас этот акк сделал?","2024-12-04 21:58:25"
"Georg","ඞ","Проверка","2024-12-04 21:58:32"
